,x,y,z,roi_number_fs
LLatVent,-24.061224,-19.387755,-12.020408 ,5
Laccumb,-8.870246,11.964206,-6.610738 ,26
Lamyg,-23.084599,-4.975597,-19.676790 ,18
Lcaud,-13.297287,6.514359,10.559517 ,11
Lhippo,-25.276621,-22.999492,-14.025224 ,17
Lpal,-19.652313,-4.648325,-1.003987 ,13
Lput,-25.70594,0.293692,-0.363893 ,12
Lthal,-11.242296,-19.248091,6.403551 ,10
RLatVent,-12.444017,-13.809904,14.241953 ,4
Raccumb,9.298507,12.098332,-7.094820 ,58
Ramyg,24.007775,-3.728863,-19.844995 ,54
Rcaud,13.730591,8.884511,10.075319 ,50
Rhippo,26.696174,-21.405913,-14.230957 ,53
Rpal,20.72607,-3.568093,-1.091440 ,52
Rput,26.379341,2.456061,-1.411558 ,51
Rthal,12.068009,-17.571983,6.556900 ,49
LSurfArea,,,,skip
L_bankssts_surfavg,-53.069688,-44.03292,7.559213 ,1001
L_caudalanteriorcingulate_surfavg,-5.633001,17.271693,27.935989 ,1002
L_caudalmiddlefrontal_surfavg,-36.011309,12.142381,47.961722 ,1003
L_cuneus_surfavg,-4.687013,-82.923135,17.446370 ,1005
L_entorhinal_surfavg,-22.77812,-4.882126,-34.435285 ,1006
L_frontalpole_surfavg,-6.914286,66.07205,-8.228571 ,1032
L_fusiform_surfavg,-35.157456,-41.885394,-22.169869 ,1007
L_inferiorparietal_surfavg,-41.192353,-68.869895,35.421360 ,1008
L_inferiortemporal_surfavg,-51.441666,-35.262773,-21.730991 ,1009
L_insula_surfavg,-35.346697,-0.075281,-1.342082 ,1035
L_isthmuscingulate_surfavg,-7.128319,-45.676622,18.305678 ,1010
L_lateraloccipital_surfavg,-31.244877,-87.829417,0.064909 ,1011
L_lateralorbitofrontal_surfavg,-23.880827,30.629277,-17.652928 ,1012
L_lingual_surfavg,-11.220837,-71.206024,-5.002592 ,1013
L_medialorbitofrontal_surfavg,-6.93276,33.218926,-16.033883 ,1014
L_middletemporal_surfavg,-58.889342,-23.915237,-12.759950 ,1015
