,x,y,z,roi_number_fs
Lamyg,-23.084599,-4.975597,-19.67679,18
Lhippo,-25.276621,-22.999492,-14.025224,17
Lput,-25.70594,0.293692,-0.363893,12
Lthal,-11.242296,-19.248091,6.403551,10
Ramyg,24.007775,-3.728863,-19.844995,54
Rhippo,26.696174,-21.405913,-14.230957,53
Rput,26.379341,2.456061,-1.411558,51
Rthal,12.068009,-17.571983,6.5569,49
L_caudalanteriorcingulate_surfavg,-5.633001,17.271693,27.935989,1002
L_insula_surfavg,-35.346697,-0.075281,-1.342082,1035
L_medialorbitofrontal_surfavg,-6.93276,33.218926,-16.033883,1014
L_rostralanteriorcingulate_surfavg,-5.77512,35.801435,2.136962,1026
L_superiorfrontal_surfavg,-9.713055,27.446906,44.404719,1028
R_caudalanteriorcingulate_surfavg,6.296188,20.585337,26.366569,2002
R_insula_surfavg,36.849978,1.527806,-1.80457,2035
R_rostralanteriorcingulate_surfavg,7.061781,36.506965,5.729255,2026
R_superiorfrontal_surfavg,12.221852,30.751035,44.20935,2028
L_caudalanteriorcingulate_thickavg,-5.633001,17.271693,27.935989,1002
L_insula_thickavg,-35.346697,-0.075281,-1.342082,1035
L_rostralanteriorcingulate_thickavg,-5.77512,35.801435,2.136962,1026
R_caudalanteriorcingulate_thickavg,6.296188,20.585337,26.366569,2002
R_insula_thickavg,36.849978,1.527806,-1.80457,2035
R_rostralanteriorcingulate_thickavg,7.061781,36.506965,5.729255,2026
